rent_id,car_id,driver_license,rent_comp_id,rent_start_date,rent_days,pay_date,rent_pay,extra_bill,extra_pay
1,2,11-18-123456-70,2,2018.10.11,1,2018.10.25,149000,,
2,5,02-97-987431-82,6,2018.10.13,2,2018.10.27,218000,,
3,3,12-10-239956-23,1,2018.10.13,3,2018.10.27,696000,,
4,4,05-16-234456-12,3,2018.10.14,1,2018.10.28,189000,,
5,1,11-18-123456-70,6,2018.10.19,3,2018.11.2,249000,,
6,6,12-10-239956-23,4,2018.10.22,2,2018.11.5,126000,,
7,11,04-99-235483-09,2,2018.10.23,2,2018.11.6,198000,extended,50000
8,4,01-18-934354-73,3,2018.10.24,3,2018.11.7,567000,,
9,2,11-18-123456-70,2,2018.10.24,1,2018.11.7,149000,,
10,8,12-10-239956-23,2,2018.10.25,1,2018.11.8,130000,,
11,9,23-10-091283-34,1,2018.10.25,3,2018.11.8,336000,,
12,1,02-97-987431-82,6,2018.10.28,1,2018.11.11,83000,,
13,12,04-99-235483-09,3,2018.10.30,1,2018.11.13,229000,,
14,10,01-18-934354-73,2,2018.11.1,1,2018.11.15,91000,,
15,10,12-10-239956-23,2,2018.11.1,2,2018.11.15,182000,,
16,9,11-13-032947-20,1,2018.11.3,1,2018.11.17,112000,,
17,7,23-10-091283-34,1,2018.11.4,2,2018.11.18,124000,extended,100000
18,4,02-97-987431-82,3,2018.11.4,1,2018.11.18,189000,,
19,3,04-99-235483-09,1,2018.11.4,1,2018.11.18,232000,,
20,7,11-18-123456-70,1,2018.11.5,1,2018.11.19,62000,,
21,5,01-18-934354-73,6,2018.11.6,2,2018.11.20,218000,,
22,11,12-10-239956-23,2,2018.11.6,1,2018.11.20,99000,,
23,5,23-10-091283-34,6,2018.11.9,1,2018.11.23,109000,,
24,12,01-18-934354-73,3,2018.11.11,1,2018.11.25,229000,,
25,6,12-10-239956-23,4,2018.11.11,1,2018.11.25,63000,,
26,1,05-16-234456-12,6,2018.11.11,2,2018.11.25,166000,,
27,12,02-97-987431-82,3,2018.11.11,1,2018.11.25,229000,,
28,12,11-13-032947-20,3,2018.11.11,1,2018.11.25,229000,extended,50000
29,1,04-99-235483-09,6,2018.11.13,2,2018.11.27,166000,,
30,8,12-10-239956-23,2,2018.11.16,1,2018.11.30,130000,,
31,10,01-18-934354-73,2,2018.11.18,1,2018.12.2,91000,extended,40000
32,11,02-97-987431-82,2,2018.11.19,1,2018.12.3,99000,extended,120000
33,4,11-13-032947-20,3,2018.11.20,1,2018.12.4,189000,,
34,3,11-18-123456-70,1,2018.11.22,1,2018.12.6,232000,,
35,4,01-18-934354-73,3,2018.11.22,1,2018.12.6,189000,,
36,6,11-18-123456-70,4,2018.11.23,3,2018.12.7,189000,,
37,2,04-99-235483-09,2,2018.11.23,1,2018.12.7,149000,,
38,2,11-13-032947-20,2,2018.11.23,3,2018.12.7,447000,,
39,4,12-10-239956-23,3,2018.11.26,2,2018.12.10,378000,,
40,3,23-10-091283-34,1,2018.11.27,1,2018.12.11,232000,extended,100000
41,7,12-10-239956-23,1,2018.11.29,1,2018.12.13,62000,,
42,9,11-13-032947-20,1,2018.11.29,1,2018.12.13,112000,,
43,6,02-97-987431-82,4,2018.11.29,2,2018.12.13,126000,,
44,9,11-18-123456-70,1,2018.11.30,1,2018.12.14,112000,,
45,11,01-18-934354-73,2,2018.12.1,3,2018.12.15,297000,,
46,5,11-18-123456-70,6,2018.12.28,1,2018.12.31,109000,,
47,10,02-97-987431-82,2,2018.12.3,1,2018.12.17,91000,,
48,8,05-16-234456-12,2,2018.12.4,1,2018.12.18,130000,extended,50000
49,9,12-10-239956-23,1,2018.12.5,1,2018.12.19,112000,,
50,6,01-18-934354-73,4,2018.12.5,1,2018.12.19,63000,,
51,4,04-99-235483-09,3,2018.12.5,1,2018.12.19,189000,,
52,9,11-13-032947-20,1,2018.12.8,1,2018.12.22,112000,,
53,7,23-10-091283-34,1,2018.12.8,1,2018.12.22,62000,extended,70000
54,12,11-13-032947-20,3,2018.12.10,1,2018.12.24,229000,extended,40000
55,4,11-13-032947-20,3,2018.12.11,1,2018.12.25,189000,,
