rep_number,car_id,shop_id,rent_comp_id,driver_license,rep_detail,rep_date,rep_price,pay_deadline,extra_rep_detail
1,2,1,2,11-18-123456-70,Repair of bumpers,2018-10-11,250000,2018-10-25,Remove scratch
2,5,3,6,02-97-987431-82,Nothing,2018-10-14,10000,2018-10-28,
3,3,2,1,12-10-239956-23,Nothing,2018-10-15,10000,2018-10-29,
4,4,3,3,05-16-234456-12,Nothing,2018-10-14,10000,2018-10-28,
5,1,4,6,11-18-123456-70,Repair of bumpers,2018-10-21,120000,2018-11-04,
6,6,1,4,12-10-239956-23,Nothing,2018-10-23,10000,2018-11-06,
7,11,5,2,04-99-235483-09,Nothing,2018-10-24,10000,2018-11-07,
8,4,3,3,01-18-934354-73,Nothing,2018-10-26,10000,2018-11-09,
9,2,1,2,11-18-123456-70,Nothing,2018-10-24,10000,2018-11-07,
10,8,5,2,12-10-239956-23,Nothing,2018-10-25,10000,2018-11-08,
11,9,3,1,23-10-091283-34,Nothing,2018-10-27,10000,2018-11-10,
12,1,3,6,02-97-987431-82,Nothing,2018-10-28,10000,2018-11-11,
13,12,2,3,04-99-235483-09,Repair engine,2018-10-30,230000,2018-11-13,Remove scratch
14,10,1,2,01-18-934354-73,Nothing,2018-11-01,10000,2018-11-15,
15,10,3,2,12-10-239956-23,Nothing,2018-11-02,10000,2018-11-16,
16,9,2,1,11-13-032947-20,Nothing,2018-11-03,10000,2018-11-17,
17,7,5,1,23-10-091283-34,Nothing,2018-11-05,10000,2018-11-19,
18,4,5,3,02-97-987431-82,Repair engine,2018-11-04,500000,2018-11-18,
19,3,5,1,04-99-235483-09,Nothing,2018-11-04,10000,2018-11-18,
20,7,1,1,11-18-123456-70,Nothing,2018-11-05,10000,2018-11-19,
21,5,1,6,01-18-934354-73,Nothing,2018-11-07,10000,2018-11-21,
22,11,3,2,12-10-239956-23,Nothing,2018-11-06,10000,2018-11-20,
23,5,5,6,23-10-091283-34,Repair of bumpers,2018-11-09,300000,2018-11-23,
24,12,1,3,01-18-934354-73,Nothing,2018-11-11,10000,2018-11-25,
25,6,5,4,12-10-239956-23,Nothing,2018-11-11,10000,2018-11-25,
26,1,5,6,05-16-234456-12,Nothing,2018-11-12,10000,2018-11-26,
27,12,3,3,02-97-987431-82,Nothing,2018-11-11,10000,2018-11-25,
28,12,5,3,11-13-032947-20,Nothing,2018-11-11,10000,2018-11-25,
29,1,1,6,04-99-235483-09,Nothing,2018-11-14,10000,2018-11-28,
30,8,3,2,12-10-239956-23,Nothing,2018-11-16,10000,2018-11-30,
31,10,5,2,01-18-934354-73,Nothing,2018-11-18,10000,2018-12-02,
32,11,1,2,02-97-987431-82,Nothing,2018-11-19,10000,2018-12-03,
33,4,2,3,11-13-032947-20,Nothing,2018-11-20,10000,2018-12-04,
34,3,4,1,11-18-123456-70,Nothing,2018-11-22,10000,2018-12-06,
35,4,5,3,01-18-934354-73,Nothing,2018-11-22,10000,2018-12-06,
36,6,2,4,11-18-123456-70,Nothing,2018-11-25,10000,2018-12-09,
37,2,3,2,04-99-235483-09,Nothing,2018-11-23,10000,2018-12-07,
38,2,4,2,11-13-032947-20,Repair rearview mirror,2018-11-25,120000,2018-12-09,Remove scratch
39,4,5,3,12-10-239956-23,Nothing,2018-11-27,10000,2018-12-11,
40,3,1,1,23-10-091283-34,Nothing,2018-11-27,10000,2018-12-11,
41,7,5,1,12-10-239956-23,Nothing,2018-11-29,10000,2018-12-13,
42,9,1,1,11-13-032947-20,Nothing,2018-11-29,10000,2018-12-13,
43,6,3,4,02-97-987431-82,Nothing,2018-11-30,10000,2018-12-14,
44,9,2,1,11-18-123456-70,Nothing,2018-11-30,10000,2018-12-14,
45,11,4,2,01-18-934354-73,Repair of bumpers,2018-12-03,50000,2018-12-17,
46,5,2,6,11-18-123456-70,Nothing,2018-12-28,10000,2019-01-11,
47,10,4,2,02-97-987431-82,Repair rearview mirror,2018-12-03,300000,2018-12-17,
48,8,1,2,05-16-234456-12,Nothing,2018-12-04,10000,2018-12-18,
49,9,5,1,12-10-239956-23,Nothing,2018-12-05,10000,2018-12-19,
50,6,3,4,01-18-934354-73,Nothing,2018-12-05,10000,2018-12-19,
51,4,5,3,04-99-235483-09,Nothing,2018-12-05,10000,2018-12-19,
52,9,5,1,11-13-032947-20,Nothing,2018-12-08,10000,2018-12-22,
53,7,2,1,23-10-091283-34,Nothing,2018-12-08,10000,2018-12-22,
54,12,4,3,11-13-032947-20,Nothing,2018-12-10,10000,2018-12-24,
55,4,1,3,11-13-032947-20,Nothing,2018-12-11,10000,2018-12-25,
